review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
4d2c24b096663970f1e4e3b6c5d1f1cf,5007ef2d1751857fb87921606c3c617f,1,Produto com defeito ,A empresa deveria testar produto antes ,5/1/2018 0:00,5/4/2018 11:14
cf4eefb6510e64a170aab487df038898,01a0013ddc7cd129e350e8671b56a263,4,NULL,"ótimo produto, de qualidade, fácil instalação e com proteção de qualidade (IP67)",4/13/2017 0:00,4/14/2017 20:07
8714a2f08e843e95c470018f61e48a49,6f20546433de334abe46b79336ead4b8,2,NULL,Meu produto veio com uma parte com defeito. Se trata de MDF e um lado da tampa veio quebrada.,7/25/2017 0:00,7/27/2017 10:55
d30070ce6e6f3eba66d027b4ece46fed,5d0c8f7d2215114ca6c95a8af1ad7a00,5,NULL,Recebi o produto como anunciado pelas fotos e antes do prazo da entrega. Recomendo.,4/12/2017 0:00,4/12/2017 21:22
3383917cca582489d4e200eb09dd0dd4,f934d80ca76365bd394059be22a837f5,5,NULL,"muito boa a mochila, tamanho muito bom. ",1/23/2018 0:00,1/24/2018 0:31
c71f1a71f3f150884357fa2112d92380,4aa0a4cc479d198113baae85bbb801c8,5,NULL,muito bom,8/26/2017 0:00,8/28/2017 13:12
1cb9f4343412b6fa9f2259151ccafbaa,19cfcf45fc399af9d3e9d1d98638997b,4,NULL,NULL,12/29/2017 0:00,2/9/2018 12:19
143485dc07e6d1fca66721351e5bd573,cacd456511570f43f9f06e36aaec8608,4,NULL,NULL,2/21/2018 0:00,2/22/2018 0:28
747eed30b784c24782f481a6e0a19b6f,12788af294f51dd5ba2aaed208a45969,5,NULL,NULL,10/3/2017 0:00,10/5/2017 19:25
5f4998ecbd56928ec62eb3725e43fe3f,998a27693557ae31e5e24fe002890865,5,NULL,NULL,11/28/2017 0:00,12/5/2017 1:02
a52cdced4212c7150fa11fe04d4ab729,65fc00880e8ad49374845c44e5993a52,5,Excelente ,"Prazo , agilidade , cumpre com que promete ! ",6/29/2018 0:00,6/30/2018 3:56
88ae3a5d56764790aa443212d8b09647,a36c2d374f8bda87f5ba07fe1bde98e0,5,NULL,"Muito bem embalada , ótima.",3/1/2018 0:00,3/3/2018 21:45
40b0268e71c83a9f7f004d844cee31f8,fb1ede4fdbea07d0b54f55338978e7f8,5,NULL,A capinha é mais fina do que eu esperava. Mas no geral fica bonito no aparelho e ainda protege razoavelmente.,1/10/2018 0:00,1/16/2018 18:55
0435be20ac550ab003076456797abb65,1f7c1b144b5b6d0a4339bd2e7ce499ac,4,NULL,bom,3/13/2018 0:00,3/16/2018 17:48
ab1b3edaec7fa630e361b714387a8e45,3edfecc4a611653ebb70ad242db1aa56,4,NULL,NULL,8/29/2018 0:00,10/4/2018 22:41
06d59a33d8c50ca9f7e3fff4f7b2a0dc,b9d1db9d3e9608b2d37f962aaef45e03,5,NULL,NULL,5/8/2018 0:00,5/8/2018 16:00
311859d930f1a2ccd4d01b6acb504880,db68ee136b9cb2c16d74fa11a7395e5d,5,NULL,NULL,3/20/2018 0:00,3/21/2018 21:33
55096bb2a81a29be15b8489b0524fec4,53be71ad136b4e964acc33d8902666cc,5,NULL,NULL,11/30/2017 0:00,12/4/2017 14:35
bdbce35fbf9646d68ac225aef32a8787,0ef89e47a5078a9e54a080d5fa8c9109,1,NULL,NULL,3/31/2018 0:00,3/31/2018 16:29
ef4c482752873ac7bf9b369378e781fb,615d69cac226ded6b44842350797744e,3,NULL,"Recomendo, mas tenho um produto que está me dando uma dor de cabeça do caramba para chegar. 
Espero algum retorno.",4/13/2018 0:00,4/16/2018 19:34
