order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
94f98ffd128d56e74dac7bb1b700666b,1,994e65eb77f3501f497e7fd860b0ea9e,79ed755314cfe6df0daef2c6cd3022cd,10/29/2017 22:25,159.9,18.37
9d1f77072af56fc8c0390f8e6f055a9b,1,2ffdf10e724b958c0f7ea69e97d32f64,4869f7a5dfa277a7dca6462dcf3b52b2,1/17/2018 2:35,213.9,13
8a6d43f80f46382ebf68f93d7569363a,1,7151659c0516da0bb3d9f27312efb652,b56906f7fd1696e043f1bcce164c487b,3/15/2018 3:50,31.99,14.44
4b9cf74b2132266bf6d3342a77342433,1,0c7ec2b24166d57ac38a9db523711782,bd4889b5e9133b35b66e42a8665cea5c,5/21/2018 17:55,61.2,11.15
f5a3eb7fb74526595623599e391ef6fd,1,811ea06b526cf16fd375cbabb9b8a99f,f27e33c6d29b5138fa9967bcd445b6d5,10/9/2017 16:56,119.9,23.16
8af15bd33c34d03d1ec679cc09fc6e1f,1,1c21c1ed398eae61184065889ca3d4b0,a3e9a2c700480d9bb01fba070ba80a0e,11/2/2017 22:32,65,17.7
6ad3104da988fe60a015a15536c72e08,1,b73091f98b819cf7a339f74ece86aa4b,a6fe7de3d16f6149ffe280349a8535a0,9/27/2017 22:35,59.9,11.92
9bcd315f2d8687500366d9b2fb0e8add,1,ac11beeebaf7911a13f63d7d6cb89d46,7299e27ed73d2ad986de7f7c77d919fa,8/17/2018 19:35,138.99,22.9
b3206cf64b7cd1480a6c6f9912b20666,1,7bbe91ccbf899dc40a38d012a4dc411f,23d7c96d4a1160db1c726b248601b25a,9/19/2017 20:44,179.9,17.97
d1036b47b42a66f67a5c1b350697ee26,1,8215db96a612d69839c27866feabf350,5debea795b07621e1f90532e18f96145,12/19/2017 14:29,30.9,12.48
8272b63d03f5f79c56e9e4120aec44ef,19,270516a3f41dc035aa87d220228f844c,2709af9587499e95e803a6498a5a56e9,7/21/2017 18:25,1.2,7.89
3e269d8ec37b0e8f74c0aaac57c8b059,2,474bb6b54fc608ca71059a6c4f7ecda3,8b321bb669392f5163d04c59e235e066,2/20/2018 10:30,21.9,15.1
46b18707c8d227291f47dcb0348320ee,1,56f96b94cbba67352e072d40e4e02167,0adac9fbd9a2b63cccaac4f8756c1ca8,2/22/2018 23:26,18.6,16.11
b6830fb4fc4fc7ef2c897fe89e621f3b,1,1600dcf1cea8c0c83702e07b577ab231,6560211a19b47992c3666cc44a7e94c0,12/12/2017 15:52,44,17.63
4edb6ef70ac1110853f2faae2794ac6a,2,2367a519f69c9163cb6261bd2ce42ad4,30a81d8cf85fb2ada1b1b094c9583a95,5/15/2018 3:11,27.99,7.39
489243ea0f23a5849516cc651afa4325,1,ec87fe7c217a713732b71344bc43274b,1336efc61c316ddf92c899eb817f7cae,6/6/2017 22:50,40.55,13.37
5dccc65b256263ec10925fa3a3d7ef48,1,bfc0d01be79d9038c7720f983bf954e0,634964b17796e64304cadf1ad3050fb7,1/15/2018 21:16,137,8.37
d11c6e3675c8fa2f8cd707a48969429a,1,f8328e9125f089a968fc6b36116c4bb9,218d46b86c1881d022bce9c68a7d4b15,11/22/2017 13:16,112,16.54
b830151a31b4a50240340fa048e7ff31,1,363218ba55c610b750224f90bdd34be1,00ee68308b45bc5e2660cd833c3f81cc,11/30/2017 9:54,85,11.8
7b9c79725cdb375638eae34455acbef0,1,6fb42788c5ef9affaa2fec30ca8b6053,1127b7f2594683f2510f1c2c834a486b,12/1/2017 8:50,16.17,11.85
