account_name,nsbi_sector,deal_type,nsbi_financial_contribution,city,nsbi_county,postal_code,fiscal_year,longitude,latitude,coordinates
Journeyman Film Company  Ltd.,ICT (includes Digital Media),Export Growth Program,4565,dartmouth,Halifax Regional Municipality,B2Y2S6,2018 - 2019,-63.566107,44.666248,POINT (-63.566107 44.666248)
Xeos Technologies Inc,Oceans Technology,Export Growth Program,15000,dartmouth,Halifax Regional Municipality,B3B1L6,2018 - 2019,-63.604817,44.715039,POINT (-63.604817 44.715039)
APPILI Therapeutics,Life Sciences,Export Growth Program,15000,halifax,Halifax Regional Municipality,B3H1A8,2018 - 2019,-63.573789,44.624478,POINT (-63.573789 44.624478)
Bereda Training Inc.,ICT (includes Digital Media),Export Growth Program,927,halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
Black Star Wealth Partners,Business Services,Export Growth Program,6125,halifax,Halifax Regional Municipality,B3L1K9,2018 - 2019,-63.599571,44.649413,POINT (-63.599571 44.649413)
Cabbage Patch Kimchi,Agri-food,Export Growth Program,800,halifax,Halifax Regional Municipality,B3H2S9,2018 - 2019,-63.573625,44.634901,POINT (-63.573625 44.634901)
Gorgeous Mistake Productions,Film Production,Export Growth Program,6962,dartmouth,Halifax Regional Municipality,B3A2Y3,2018 - 2019,-63.574093,44.673505,POINT (-63.574093 44.673505)
Graphite Innovation and Technologies Inc.,Advanced Manufacturing,Export Growth Program,7425,dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
Nautics Group Inc.,Advanced Manufacturing,Export Growth Program,12925,bedford,Halifax Regional Municipality,B4A1E2,2018 - 2019,-63.66463,44.728037,POINT (-63.66463 44.728037)
Retail Deep,ICT (includes Digital Media),Export Growth Program,900,halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
Benjamin Bridge Vineyards,Agri-food,Export Growth Program,525,wolfville,Kings,B4P2R1,2018 - 2019,-64.403589,45.013938,POINT (-64.403589 45.013938)
BlueLight Analytics Inc,Life Sciences,Export Growth Program,25000,halifax,Halifax Regional Municipality,B3L4G4,2018 - 2019,-63.620539,44.642071,POINT (-63.620539 44.642071)
DGI Clinical Inc.,Life Sciences,Export Growth Program,12908,halifax,Halifax Regional Municipality,B3J2E3,2018 - 2019,-63.576047,44.646813,POINT (-63.576047 44.646813)
EcoPilot Canada Inc.,Engineering & Professional,Export Growth Program,8137,halifax,Halifax Regional Municipality,B3J3L7,2018 - 2019,-63.575048,44.649083,POINT (-63.575048 44.649083)
Nodalblock Canada Holdings Inc.,ICT (includes Digital Media),Export Growth Program,2500,halifax,Halifax Regional Municipality,B3J3N2,2018 - 2019,-63.57606155,44.65201157,POINT (-63.57606155 44.65201157)
Novonix Battery Testing Services Inc,Energy,Export Growth Program,4550,bedford,Halifax Regional Municipality,B4B1H1,2018 - 2019,-63.710231,44.722456,POINT (-63.710231 44.722456)
Precision BioLogic Incorporated,Life Sciences,Export Growth Program,15000,dartmouth,Halifax Regional Municipality,B3B0A9,2018 - 2019,-63.573165,44.695212,POINT (-63.573165 44.695212)
Climate Technical Gear,Advanced Manufacturing,Export Growth Program,12275,dartmouth,Halifax Regional Municipality,B3B1S2,2018 - 2019,-63.592089,44.695586,POINT (-63.592089 44.695586)
DynaGen Technologies Incorporated,Advanced Manufacturing,Export Growth Program,5800,dartmouth,Halifax Regional Municipality,B3B1W8,2018 - 2019,-63.579683,44.70058,POINT (-63.579683 44.70058)
Freshify Inc,Advanced Manufacturing,Export Growth Program,7494,wolfville,Kings,B4P1P8,2018 - 2019,-64.37466729,45.08579837,POINT (-64.37466729 45.08579837)
Midgard Insect Farm Inc,Agri-food,Export Growth Program,13555,halifax,Halifax Regional Municipality,B3L1V1,2018 - 2019,-63.602803,44.654196,POINT (-63.602803 44.654196)
Proven Marketing for Lawyers Inc.,Business Services,Export Growth Program,3246,halifax,Halifax Regional Municipality,B3H4K6,2018 - 2019,-63.578788,44.637258,POINT (-63.578788 44.637258)
Vesuvius Media Ltd.,ICT (includes Digital Media),Export Growth Program,12808,halifax,Halifax Regional Municipality,B3M1W8,2018 - 2019,-63.650445,44.676671,POINT (-63.650445 44.676671)
EOceans Research and Consulting Inc.,Oceans Technology,Export Growth Program,2800,dartmouth,Halifax Regional Municipality,B2Y1T7,2018 - 2019,-63.555147,44.674503,POINT (-63.555147 44.674503)
JusNova Agriculture Ltd,Agri-food,Export Growth Program,12850,halifax,Halifax Regional Municipality,B3M1N1,2018 - 2019,-63.641789,44.66397,POINT (-63.641789 44.66397)
MindSea Development Incorporated,ICT (includes Digital Media),Export Growth Program,25000,halifax,Halifax Regional Municipality,B3J3M8,2018 - 2019,-63.5727,44.647395,POINT (-63.5727 44.647395)
Blois Fish Processing Automation Limited,Fish & Seafood Processing,Export Growth Program,13825,dartmouth,Halifax Regional Municipality,B2V2S7,2018 - 2019,-63.476576,44.653288,POINT (-63.476576 44.653288)
Enginuity Inc.,Business Services,Export Growth Program,10315,halifax,Halifax Regional Municipality,B3P1M1,2018 - 2019,-63.615546,44.619123,POINT (-63.615546 44.619123)
Fourth Wave Strategy Inc,Business Services,Export Growth Program,14901,dartmouth,Halifax Regional Municipality,B2X3G1,2018 - 2019,-63.5417345,44.69860475,POINT (-63.5417345 44.69860475)
Dragon Veterinary Canada Limited,ICT (includes Digital Media),Export Growth Program,15000,bedford,Halifax Regional Municipality,B4A1H4,2018 - 2019,-63.674559,44.711731,POINT (-63.674559 44.711731)
Duckish Natural Skin Care Limited,Advanced Manufacturing,Export Growth Program,5047,halifax,Halifax Regional Municipality,B3L1K1,2018 - 2019,-63.595101,44.649822,POINT (-63.595101 44.649822)
Spritely Technologies Inc,ICT (includes Digital Media),Export Growth Program,7900,halifax,Halifax Regional Municipality,B3S1E5,2018 - 2019,-63.665971,44.662523,POINT (-63.665971 44.662523)
Green Power Labs Inc,Energy,Export Growth Program,15000,dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
Andrea Janzen Professional Coaching,Business Services,Export Growth Program,801,halifax,Halifax Regional Municipality,B3L2S7,2018 - 2019,-63.599408,44.644887,POINT (-63.599408 44.644887)
Atlantic Ambassatours Ltd.,Business Services,Export Growth Program,3737,halifax,Halifax Regional Municipality,B3K2V6,2018 - 2019,-63.619767,44.666131,POINT (-63.619767 44.666131)
Baie Run Pet Products Inc,Agri-food,Export Growth Program,14998,halifax,Halifax Regional Municipality,B3J3N2,2018 - 2019,-63.57606155,44.65201157,POINT (-63.57606155 44.65201157)
Benjamin Bridge Vineyards,Agri-food,Export Growth Program,16350,wolfville,Kings,B4P2R1,2018 - 2019,-64.403589,45.013938,POINT (-64.403589 45.013938)
Left Meets Right Creative Co,ICT (includes Digital Media),Export Growth Program,500,halifax,Halifax Regional Municipality,B3K5V4,2018 - 2019,-63.614427,44.665139,POINT (-63.614427 44.665139)
Ruby Tree Films Inc.,Film Production,Export Growth Program,4698,halifax,Halifax Regional Municipality,B3J2A1,2018 - 2019,-63.573748,44.646552,POINT (-63.573748 44.646552)
Success Through Trust Inc,Business Services,Export Growth Program,4748,halifax,Halifax Regional Municipality,B3L2H3,2018 - 2019,-63.626126,44.648102,POINT (-63.626126 44.648102)
Black Dog Films / The Monster Productions Inc,Film Production,Export Growth Program,21119,halifax,Halifax Regional Municipality,B3L1P4,2018 - 2019,-63.598415,44.652126,POINT (-63.598415 44.652126)
Keeping Roads Safe Technologies Inc,ICT (includes Digital Media),Export Growth Program,3000,bedford,Halifax Regional Municipality,B4B1H1,2018 - 2019,-63.710231,44.722456,POINT (-63.710231 44.722456)
Efficiency Properties,ICT (includes Digital Media),Export Growth Program,6600,halifax,Halifax Regional Municipality,B3K3P2,2018 - 2019,-63.605039,44.668481,POINT (-63.605039 44.668481)
Focal Technologies Corporation,Oceans Technology,Export Growth Program,15000,dartmouth,Halifax Regional Municipality,B3B1Z4,2018 - 2019,-63.587502,44.711855,POINT (-63.587502 44.711855)
Glas Ocean Electric Inc,Energy,Export Growth Program,14250,halifax,Halifax Regional Municipality,B3P2H3,2018 - 2019,-63.577884,44.615051,POINT (-63.577884 44.615051)
Roswall Development Incorporated,Energy,Export Growth Program,1000,halifax,Halifax Regional Municipality,B3M2L3,2018 - 2019,-63.66099,44.683287,POINT (-63.66099 44.683287)
2 Crows Brewing Ltd,Agri-food,Export Growth Program,4675,halifax,Halifax Regional Municipality,B3J2G7,2018 - 2019,-63.578146,44.649349,POINT (-63.578146 44.649349)
902HipHop Inc.,ICT (includes Digital Media),Export Growth Program,14868,halifax,Halifax Regional Municipality,B3K4N7,2018 - 2019,-63.594931,44.654736,POINT (-63.594931 44.654736)
Canada Rope & Twine Limited,Advanced Manufacturing,Export Growth Program,13675,bedford,Halifax Regional Municipality,B4B1H1,2018 - 2019,-63.710231,44.722456,POINT (-63.710231 44.722456)
Lorax Systems Inc,Energy,Export Growth Program,4178,dartmouth,Halifax Regional Municipality,B3B1S8,2018 - 2019,-63.588536,44.700833,POINT (-63.588536 44.700833)
Manage Your Spend,ICT (includes Digital Media),Export Growth Program,3322,halifax,Halifax Regional Municipality,B3J3Z2,2018 - 2019,-63.569364,44.643446,POINT (-63.569364 44.643446)
Outdoor-Fit Exercise Systems,Advanced Manufacturing,Export Growth Program,7000,dartmouth,Halifax Regional Municipality,B3B1M3,2018 - 2019,-63.611768,44.703405,POINT (-63.611768 44.703405)
Pictou Twist Pictures Inc,Film Production,Export Growth Program,7037,halifax,Halifax Regional Municipality,B3J1J7,2018 - 2019,-63.573178,44.645217,POINT (-63.573178 44.645217)
Side Door Access Inc,ICT (includes Digital Media),Export Growth Program,1375,halifax,Halifax Regional Municipality,B3K1H1,2018 - 2019,-63.588243,44.6524635,POINT (-63.588243 44.6524635)
Smarter Spaces Inc,Business Services,Export Growth Program,3349,halifax,Halifax Regional Municipality,B3K5M4,2018 - 2019,-63.590281,44.662737,POINT (-63.590281 44.662737)
WarrierTech Inc,ICT (includes Digital Media),Export Growth Program,14979,halifax,Halifax Regional Municipality,B3H1Y1,2018 - 2019,-63.5849,44.640901,POINT (-63.5849 44.640901)
SimplyCast Interactive Marketing LTD.,ICT (includes Digital Media),Export Growth Program,2625,dartmouth,Halifax Regional Municipality,B2W6E2,2018 - 2019,-63.535262,44.681461,POINT (-63.535262 44.681461)
Omnitech Electronics Inc,Oceans Technology,Export Growth Program,12500,dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132,POINT (-63.611144 44.704132)
TerraProForma (FORMERLY - Play the Field),ICT (includes Digital Media),Export Growth Program,15000,halifax,Halifax Regional Municipality,B3H3W5,2018 - 2019,-63.593067,44.632894,POINT (-63.593067 44.632894)
Javitech Atlantic Ltd,Business Services,Export Growth Program,3081,halifax,Halifax Regional Municipality,B3M2L8,2018 - 2019,-63.660842,44.693973,POINT (-63.660842 44.693973)
Allswater Marine Consultants Ltd,Oceans Technology,Export Growth Program,5300,bedford,Halifax Regional Municipality,B4A1B9,2018 - 2019,-63.673227,44.719376,POINT (-63.673227 44.719376)
Blue Ocean Contact Centers,Business Services,Export Growth Program,15000,halifax,Halifax Regional Municipality,B3L4V2,2018 - 2019,-63.623858,44.653361,POINT (-63.623858 44.653361)
Cut/Off/Tail Pictures,Film Production,Export Growth Program,1500,halifax,Halifax Regional Municipality,B3V1M4,2018 - 2019,-63.653534,44.471319,POINT (-63.653534 44.471319)
The Discovery Centre International Inc.,Business Services,Export Growth Program,15000,halifax,Halifax Regional Municipality,B3J3S8,2018 - 2019,-63.568235,44.64141,POINT (-63.568235 44.64141)
The Family Knife Marketing Consultancy Inc.,Business Services,Export Growth Program,5150,halifax,Halifax Regional Municipality,B3L3G5,2018 - 2019,-63.613647,44.643919,POINT (-63.613647 44.643919)
B4Checkin Limited,ICT (includes Digital Media),Export Growth Program,4546,halifax,Halifax Regional Municipality,B3J3S9,2018 - 2019,-63.586911,44.640361,POINT (-63.586911 44.640361)
Guild Software Inc,Business Services,Export Growth Program,11350,bedford,Halifax Regional Municipality,B4A1E6,2018 - 2019,-63.657959,44.731599,POINT (-63.657959 44.731599)
Bandha Nutrition Products,Agri-food,Export Growth Program,2295,halifax,Halifax Regional Municipality,B3J1Z2,2018 - 2019,-63.571931,44.643044,POINT (-63.571931 44.643044)
Dormie Golf Workshop Inc.,Advanced Manufacturing,Export Growth Program,8568,halifax,Halifax Regional Municipality,B3K2Y3,2018 - 2019,-63.590301,44.660963,POINT (-63.590301 44.660963)
Dynamic Systems Analysis Ltd.,Oceans Technology,Export Growth Program,6725,halifax,Halifax Regional Municipality,B3K4X8,2018 - 2019,-63.614939,44.661614,POINT (-63.614939 44.661614)
Ednaturals Bar,Agri-food,Export Growth Program,4620,halifax,Halifax Regional Municipality,B3P1H5,2018 - 2019,-63.610642,44.617409,POINT (-63.610642 44.617409)
InterTalk Critical Information Systems Inc,ICT (includes Digital Media),Export Growth Program,5800,dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132,POINT (-63.611144 44.704132)
Magic Rock Productions,Film Production,Export Growth Program,5000,halifax,Halifax Regional Municipality,B3J1K9,2018 - 2019,-63.575676,44.645676,POINT (-63.575676 44.645676)
Mil-Aero Electronics Atlantic Inc,Advanced Manufacturing,Export Growth Program,2660,dartmouth,Halifax Regional Municipality,B2Y4V9,2018 - 2019,-63.540249,44.657211,POINT (-63.540249 44.657211)
Partner International Inc,Business Services,Export Growth Program,15000,dartmouth,Halifax Regional Municipality,B2Y4T6,2018 - 2019,-63.544976,44.661923,POINT (-63.544976 44.661923)
